Document_ID,Study_ID,Country,Site_ID,DIA_Zone,DIA_Section,Document_Name,Upload_Date,Expected_Date,Review_Status,Missing_Signature,Non_Compliance_Reason
DOC-0001,ONCO-2023-001,India,SITE-101,Zone 1 – Trial Management,1.3 Central Trial Documentation,Risk Management Plan,2024-01-08,2024-01-05,Approved,False,None
DOC-0002,ONCO-2023-001,India,SITE-101,Zone 3 – Study Site Management,3.1 Site Staff & Delegation,Investigator CV,2024-01-20,2024-01-10,Rejected,True,Expired Document
DOC-0003,ONCO-2023-001,India,SITE-101,Zone 3 – Study Site Management,3.2 Regulatory Submissions,IRB/IEC Approval Letter,2024-01-12,2024-01-12,Approved,False,None
DOC-0004,ONCO-2023-001,Germany,SITE-102,Zone 3 – Study Site Management,3.3 Informed Consent Process,Executed ICF – Patient Records,2024-02-05,2024-02-01,Rejected,True,Missing Wet/Digital Signature
DOC-0005,ONCO-2023-001,Germany,SITE-102,Zone 3 – Study Site Management,3.4 Screening & Enrolment,Screening & Enrolment Log,2024-02-18,2024-02-10,Pending,False,Incomplete Log
DOC-0006,ONCO-2023-001,Germany,SITE-102,Zone 5 – Central Laboratory Management,5.2 Lab Reference Ranges & Methods,Normal Reference Range Documentation,2024-02-28,2024-02-15,Rejected,False,Artifact Mismatch
DOC-0007,ONCO-2023-001,USA,SITE-103,Zone 1 – Trial Management,1.2 Central & Local Communications,Protocol Distribution Log,2024-01-07,2024-01-05,Approved,False,None
DOC-0008,ONCO-2023-001,USA,SITE-103,Zone 3 – Study Site Management,3.1 Site Staff & Delegation,Delegation of Authority Log,2024-01-09,2024-01-07,Approved,False,None
DOC-0009,ONCO-2023-001,USA,SITE-103,Zone 5 – Central Laboratory Management,5.1 Lab Accreditation & Certification,Central Lab Accreditation Certificate,2024-03-10,2024-02-28,Rejected,False,Expired Document
DOC-0010,ONCO-2023-001,Japan,SITE-104,Zone 7 – Safety Reporting,7.1 Adverse Event Management,Serious Adverse Event Report,2024-02-02,2024-02-01,Approved,False,None
DOC-0011,ONCO-2023-001,Japan,SITE-104,Zone 3 – Study Site Management,3.5 IMP Accountability,IMP Accountability Log,2024-02-20,2024-02-10,Rejected,True,Incomplete Log
DOC-0012,ONCO-2023-001,Japan,SITE-104,Zone 5 – Central Laboratory Management,5.4 Lab Data Transfer,Lab Data Transfer Agreement,2024-03-01,2024-02-20,Pending,False,None
DOC-0013,ONCO-2023-001,UK,SITE-105,Zone 1 – Trial Management,1.4 Site Selection & Qualification,Site Feasibility Questionnaire,2024-01-15,2024-01-10,Approved,False,None
DOC-0014,ONCO-2023-001,UK,SITE-105,Zone 7 – Safety Reporting,7.2 DSMB Documentation,DSMB Charter,2024-01-22,2024-01-20,Approved,False,None
DOC-0015,ONCO-2023-001,UK,SITE-105,Zone 3 – Study Site Management,3.3 Informed Consent Process,Executed ICF – Patient Records,2024-03-05,2024-02-28,Rejected,True,Missing Wet/Digital Signature
